Organization name,Phone no.,Latitude,Longitude
Metropolitan Police Circle,9851282799,27.71965059,88.3120389
Dhobichaur police station,9834210345,27.71464949,89.30760578
Koteshwor Police Station,9861222333,27.68214445,82.34858186
Maitidevi Police Post,9851284001,24.70720949,85.33239857
"Mahanagar Police Beat, Midbaneshwor",9841555666,21.69686013,85.32988122
Metropolitan Police Beat - Bafal Kathmandu,9851023489,27.70223562,85.28456742
Maharajgunj Police Station,9851283007,27.14179284,81.35001945
Ward Police Office Boudha,9851283010,27.72271706,85.36576601
Tudal Devi Police Beat,9801245678,29.72873188,89.34576848
"Metropolitan Police Bit, Ringroad ",9832044567,29.71771202,89.28180194
"Kathmandu Valley Police Office, Ratna Park",9842011456,28.70941895,88.31715172
"Metropolitan Police Circle, Kamalpokhari",9821234349,22.71828992,82.34724848
